,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
92,Petronet LNG,287.55,"₹42,053Cr",19.99%,11.34,16.80,24.73,2.12,3.57%,0.13,-11.083400572141128,-25.518388791593694,7.16%,9.858109222900511
93,Poonawalla Fincorp Limited,537.00,"₹41,458Cr",-1.20%,-126.68,20.31,-4.20,5.07,0.00%,3.19,31.94625750607515,-78.53518035934715,4.76%,47.909436834094365
94,Jubilant FoodWorks,613.90,"₹41,128Cr",10.02%,166.66,140.11,3.74,19.56,0.19%,2.08,18.451969592259847,29.48941953018832,3.92%,8.98483080513419
95,Container Corporation of India,532.45,"₹40,552Cr",10.41%,31.27,45.96,17.03,3.28,1.73%,0.07,2.466879853814527,0.9242216565498278,11.99%,16.18145341061079
96,National Aluminium Co,217.07,"₹39,882Cr",29.59%,6.96,13.94,31.19,2.24,4.84%,0.01,34.72745971888927,76.97348724260668,27.95%,36.56488549618321
97,Mah & Mah Finl. Serv,282.50,"₹39,468Cr",10.51%,17.22,20.31,16.49,1.61,2.03%,5.53,18.03191489361702,3.2244229569557006,11.98%,64.12798557908968
98,NLC India,283.40,"₹39,387Cr",14.00%,13.78,23.28,20.62,2.10,1.06%,1.20,-4.203997243280496,-25.769184241300053,14.75%,23.74208633093525
99,UCO Bank,31.14,"₹39,261Cr",8.87%,15.89,13.70,1.97,1.41,1.25%,NA,8.368566846479078,10.251197909104112,9.44%,12.729718821471817
100,KIOCL,565.55,"₹37,984Cr",-11.95%,-198.41,14.40,-3.15,22.19,0.00%,0.11,-31.605922551252842,-25.492902208201894,-41.56%,-32.24165047645481
101,SJVN,90.51,"₹35,659Cr",5.78%,51.56,23.28,1.76,2.51,1.61%,1.91,0.4995126705653012,-20.98120128381476,31.43%,68.9846703181653
102,Aster DM Healthcare,661.60,"₹34,833Cr",10.82%,109.50,65.48,6.14,9.80,0.72%,0.59,-89.46693613581245,-98.65862183754993,13.67%,19.90421661780281
103,Delhivery,468.95,"₹34,587Cr",1.72%,173.97,45.96,2.66,3.67,0.00%,0.15,6.6006600660066,58.32175604334535,5.36%,6.538257408226449
104,AWL Agri Business,265.10,"₹34,578Cr",13.00%,30.10,51.73,8.84,3.62,0.00%,0.21,22.940237888018565,-30.55169216504405,1.34%,2.6297563565571354
105,Central Bank of India,37.67,"₹34,196Cr",12.79%,8.00,13.70,4.72,1.04,0.50%,NA,9.2,32.849967043207485,13.61%,17.187198766146132
106,Exide Industries,402.85,"₹33,996Cr",5.71%,40.08,39.18,9.98,2.44,0.50%,0.14,4.645250751097758,14.622455914440033,7.11%,9.690150176678443
107,Cohance Lifesciences,874.05,"₹33,234Cr",28.72%,99.39,34.33,8.74,19.44,0.00%,0.16,-2.1300912333247948,-30.3247183565275,12.11%,15.67206249496658
108,Hindustan Copper,332.65,"₹32,700Cr",17.48%,67.23,13.94,5.03,12.29,0.43%,0.06,5.237391095835661,18.402257296534703,26.00%,34.368176208107855
109,Go Digit General Insurance,348.00,"₹32,385Cr",9.27%,70.15,18.96,5.00,7.56,0.00%,0.08,6.220322886989553,36.50088809946715,7.42%,0.0
110,New India Assurance Company,192.97,"₹31,864Cr",3.58%,26.60,14.91,7.27,1.40,0.93%,0.00,14.406943105110898,80.21385444992394,4.17%,0.0
111,LIC Housing Finance,566.65,"₹31,728Cr",14.97%,5.77,20.31,99.99,0.87,1.73%,7.45,6.618514150943396,4.615384615384616,18.80%,93.26697082814877
112,Aegis Vopak Terminals,273.05,"₹31,085Cr",6.63%,207.81,45.96,1.35,6.59,0.00%,2.09,12.222305896528367,93.38168631006346,30.83%,56.44879881895047
113,ITI,324.15,"₹30,513Cr",-15.38%,-162.85,52.85,-1.95,18.78,0.00%,0.91,-4.480206347426259,-30.478700043917435,-11.99%,-2.436160845318462
114,Apollo Tyres,478.50,"₹30,190Cr",8.42%,36.29,30.60,13.10,2.05,1.05%,0.30,2.5530073561228903,15.726415585768608,4.73%,8.934177215189875
